nr;stadt;name;strasse;plz;ort;stadtteil;telefon;email;email_quelle;website;bewertung;anzahl_bewertungen;pruef_partner;quelle
35;Hamburg;Der Gutachter Ingenieur- / KFZ-Sachverständingenbüro;Möllner Landstr. 128;22117;Hamburg;Billstedt;015510 74 86 31;;;https://www.der-gut-achter.de;;;;https://www.gelbeseiten.de/gsbiz/c54d223e-30f3-4836-8399-c67b08d449af
36;Hamburg;DSB - Das Sachverständigen Büro;Graudenzer Weg 5;22049;Hamburg;Dulsberg;015566 21 25 28;info@dsb-gutachten.de;Impressum/Website;https://dsb-gutachten.de;;;;https://www.gelbeseiten.de/gsbiz/177239bb-8737-40c7-957c-28d933a2cae6
37;Hamburg;ELB INGENIEURE | Kfz-Gutachter | Ingenieurbüro;Wandsbeker Chaussee 82;22089;Hamburg;;0171 9 29 26 06;;;https://elb-ing.de/;;;;https://www.gelbeseiten.de/gsbiz/96565ad2-a7dd-456a-8360-a426c4ffb9e7
38;Hamburg;ELBNORD Gutachten - Kfz Sachverständiger;Haldesdorfer Str. 106;22179;Hamburg;Bramfeld;0175 7 51 99 44;info@elbnord.de;Impressum/Website;https://elbnord-gutachten.de;;;;https://www.gelbeseiten.de/gsbiz/dff83903-b7ac-4e31-8410-2797878e49d0
39;Hamburg;Expertise-Gutachten Hamburg;Elfsaal 51a;22043;Hamburg;Jenfeld;0173 1 31 84 74;info@expertise-gutachten.de;Impressum/Website;http://www.expertise-gutachten.de;;;;https://www.gelbeseiten.de/gsbiz/65b0b399-5d53-465a-8d15-373092a06330
40;Hamburg;Fahrzeug Gutachterin;Unterer Landweg 24;22113;Hamburg;Billbrook;0177 1 89 62 42;info@fahrzeug-gutachterin.de;Impressum/Website;https://fahrzeug-gutachterin.de;;;;https://www.gelbeseiten.de/gsbiz/2ad93729-0311-4152-b79f-385179151359
41;München;089 Gutachten Kfz-Sachverständigenbüro Zwez;Thorwaldsenstr. 31RGB;80335;München;Neuhausen;089 85 63 50 32;info@089gutachten.de;Impressum/Website;https://089-kfz-gutachten-muenchen.de/;5.0;56;;https://www.gelbeseiten.de/gsbiz/6e895761-2b80-4528-88a0-b998ea3781f6
42;München;Kfz-Gutachter Fachmann München;Radlkoferstr. 2;81373;München;Sendling;089 92 13 67 51;info@kfz-schadenexperte.de;Impressum/Website;https://www.kfz-gutachter-fachmann.de/muenchen-schadengutachten;5.0;27;;https://www.gelbeseiten.de/gsbiz/e62ca3fc-46e8-42c0-ae60-956726e95dfd
43;München;KAROYA GmbH;Knappertsbuschstr. 4;81927;München;Bogenhausen;0160 5 93 48 81;info@karo-gutachten.de;Impressum/Website;https://www.karo-gutachten.de/;5.0;20;;https://www.gelbeseiten.de/gsbiz/6847b20b-0dd3-49d7-ab6e-a91a28a12488
44;München;AFR Engineering - KFZ Gutachten;Moosacher Str. 73;80809;München;Milbertshofen;01520 4 56 12 77;gutachten@afr-gmbh.com;Impressum/Website;https://www.afr-gutachten.de;5.0;5;;https://www.gelbeseiten.de/gsbiz/1b825071-75e2-4fd3-8ab2-aab21b608e68
45;München;Kfz Sachverständigen Büro Christian Schreiner;Max-Klinger-Str. 6;82131;Gauting;;089 89 32 87 66;Post@vespa-club-muenchen.de;Impressum/Website;http://www.vespaclub-muenchen.de;5.0;3;;https://www.gelbeseiten.de/gsbiz/3b80161b-a312-4682-9d8e-5f9b849c5c54
46;München;AE KFZ Gutachten;Maximilianstr. 2;80539;München;Altstadt;089 32 40 45 26;info@ae-kfzgutachten.de;Impressum/Website;http://www.ae-kfzgutachten.de;5.0;2;;https://www.gelbeseiten.de/gsbiz/07c8397c-397c-4b21-a7b5-43b8e206dcc2
47;München;Moitz Thomas;Feldmochinger Str. 359C;80995;München;Feldmoching;089 31 23 18 86;Kfz@gutachter-moitz.de;Impressum/Website;http://www.gutachter-feldmoching.com;5.0;2;;https://www.gelbeseiten.de/gsbiz/bb538183-46c1-4c55-b9c2-0b73a0e3033d
48;München;DG-KFZ-GUTACHTEN Daniel Gecic;Leonrodstr. 48A;80636;München;Neuhausen;0176 48 61 46 05;info@dg-kfz-gutachten.de;Impressum/Website;http://www.dg-kfz-gutachten.de;5.0;1;;https://www.gelbeseiten.de/gsbiz/106af26f-4e87-4c4a-bf82-7064611b6cdc
49;München;Kfz-Sachverständigenbüro München-Großhadern;Königswieser Str. 81;81475;München;Fürstenried;089 75 41 95;info@unfall-was-tun.de;Impressum/Website;http://www.unfall-was-tun.de;1.0;1;;https://www.gelbeseiten.de/gsbiz/7ce95607-f34d-4f34-818b-45b1658b0834
50;München;Eschenbach Thomas;Agnes-Bernauer-Str. 94;80687;München;Laim;089 58 95 85 00;info@kfz-buero.de;Impressum/Website;http://www.kfz-buero.de;5.0;1;;https://www.gelbeseiten.de/gsbiz/3e83d158-0d3d-4309-ad93-51df693269d5
51;München;Schuster Marco Kfz-Gutachter München - Sachverständigenbüro;Leopoldstr. 204b;80804;München;Schwabing;089 32 30 72 00;info@schuster-gutachter-muenchen.de;Impressum/Website;https://schuster-gutachter-muenchen.de/;5.0;1;;https://www.gelbeseiten.de/gsbiz/388fac30-82f0-494b-b121-4b480e063f8a
52;München;KFZ-Sachverständigenbüro H. Unfug GmbH;Moosacher Str. 58a;80809;München;Milbertshofen;089 35 65 25 05;info@gutachten-unfug.de;Impressum/Website;https://gutachten-unfug.de;5.0;1;;https://www.gelbeseiten.de/gsbiz/d27f3e3b-0cd4-4b15-b7d5-555cc0a4122c
53;München;Schuster Marco;Leopoldstr. 204b;80804;München;Schwabing;0173 2 38 54 48;info@schuster-gutachter-muenchen.de;Impressum/Website;https://schuster-gutachter-muenchen.de;5.0;1;;https://www.gelbeseiten.de/gsbiz/c432d43e-a37f-495b-8a51-f81aec0aebb3
54;München;Hermann Steffi KFZ Gutachter München - öffentlich bestellt und beeidigt;Westermeierstr. 39;81829;München;Trudering;089 42 88 91;hermann.steffi@t-online.de;Impressum/Website;;;;;https://www.gelbeseiten.de/gsbiz/01f1b02b-103b-4cb4-9ba2-a677d284d669
55;München;Kfz Gutachter München I Meisterwerk  Kfz Gutachten;Boschetsrieder Str. 69;81379;München;;089 54 19 29 48;info@gutachten-meisterwerk.de;Impressum/Website;https://www.kfz-gutachten-meisterwerk.de;;;;https://www.gelbeseiten.de/gsbiz/b23e2f1d-02a5-4e2b-99d8-7ac280699f41
56;München;KFZ-Sachverständigen-Büro Max Bauer;Industriestr. 22;82110;Germering;;089 81 89 29 92;info@svbauer.de;Impressum/Website;http://www.svbauer.de/;;;;https://www.gelbeseiten.de/gsbiz/d3bb6466-9338-40ed-93ce-58c184adef4d
57;München;KFZ Sachverständigenbüro Max Bauer;Flößergasse 7;81369;München;Sendling;089 72 30 02 22;info@svbauer.de;Impressum/Website;http://www.svbauer.de/;;;;https://www.gelbeseiten.de/gsbiz/d7797616-8b7b-4ee8-9a59-492d60aa02e8
58;München;Kfz-Gutachter Ballmann & Partner Martin Ballmann;Heidemannstr. 33;80939;München;Freimann;01520 5 70 95 13;info@kfz-gutachter-ballmann.de;Impressum/Website;https://www.kfz-gutachter-ballmann.de/;;;;https://www.gelbeseiten.de/gsbiz/9707c161-9966-4195-b661-9b15dc36e374
59;München;KFZ Sachverständiger München;Leopoldstr. 48;80802;München;Schwabing;0172 4 09 91 11;;;https://kfzgutachten-muenchen.com;;;;https://www.gelbeseiten.de/gsbiz/ff18de1b-2da2-4c55-81a3-44f59e90dc0b
60;München;Stefan Zitzelsberger Ingenieurbüro & Kfz-Sachverständiger;Neumarkter Str. 76;81673;München;Berg am Laim;089 41 15 64 95;mail@automobil-gutachten.de;Impressum/Website;http://ing-buero-zitzelsberger.de;;;;https://www.gelbeseiten.de/gsbiz/d71b2181-a745-480b-be79-4d09ac8eef5c
61;Köln;Kfz-Gutachten Ebauer;Kaiserstr. 53c;51145;Köln;;0177 5 40 38 52;;;http://www.gutachten-ebauer.de;5.0;24;;https://www.gelbeseiten.de/gsbiz/3453b959-c87c-43e3-93aa-21494b30d992
62;Köln;Scherschel Andreas;Bonner Str. 126;50968;Köln;;0221 38 59 93;info@scherschel.koeln;Impressum/Website;http://www.scherschel.koeln;5.0;19;;https://www.gelbeseiten.de/gsbiz/5cac50a0-a60e-49ef-8937-2f0a7bcad241
63;Köln;ADAC Sachverständige Ing.-Büro Urbach KG;Girlitzweg 20;50829;Köln;;0221 27 04 09 80;info@kfz-urbach.de;Impressum/Website;http://www.kfz-gutachter-urbach.de;4.9;19;ja;https://www.gelbeseiten.de/gsbiz/2263bc3f-cd19-4f04-944a-11187f69cb80
64;Köln;Mückl u. Rehse GbR Ingenieurbüro;Schönhauser Str. 10;50968;Köln;;0221 93 46 49-0;info@mueckl-schwan.de;Impressum/Website;http://www.gtue-koeln.de;4.7;15;ja;https://www.gelbeseiten.de/gsbiz/570c78d8-cb7d-4f53-82e6-a14877e627eb
65;Köln;Kfz Gutachter Köln - SOFORT - Ingenieurbüro für Fahrzeugtechnik;Aachener Str. 37-39;50674;Köln;Neustadt-Süd;01520 8 88 08 43;info@kfz-gutachter-sofort.de;Impressum/Website;https://kfz-gutachter-sofort.de/kfz-gutachter-koeln;5.0;4;;https://www.gelbeseiten.de/gsbiz/4670107d-77ef-4ce1-a70c-520d6a880ee5
66;Köln;tsikaris & findeisen KfZ-Sachverständigenbüro GmbH;Weißer Str. 18;50996;Köln;Rodenkirchen;0221 9 35 24 24;info@sv-tsikaris.de;Impressum/Website;http://www.autounfall-koeln.de;5.0;2;;https://www.gelbeseiten.de/gsbiz/d52a6cbf-df54-42c1-98b0-ae5afec64167
67;Köln;Gaith Hamed Kfz-Sachverständigenbüro Unfa.;Kalk-Mülheimer Str. 282;51065;Köln;Buchforst;0221 25 91 99 62;info@unfallsafe.de;Impressum/Website;http://www.unfallsafe.de;5.0;2;;https://www.gelbeseiten.de/gsbiz/49c6e341-4135-4700-a181-ced51ea724bb
68;Köln;Lider GmbH;Johann-Classen-Str. 2;51103;Köln;;0221 88 74 55 64;info@lider-zpu.de;Impressum/Website;http://www.lider-zpu.de;5.0;1;;https://www.gelbeseiten.de/gsbiz/d440bbb7-acdf-4ca5-8791-f0102feb0549
69;Köln;Lütjen Uwe;Johannes-Albers-Str. 35;50767;Köln;;0221 7 90 10 00;;;http://www.lsl-limousinenservice.de;1.0;1;;https://www.gelbeseiten.de/gsbiz/2cd35ce2-00fb-4eb2-8588-f63e9d2fc23d
70;Köln;ASP & Partner KFZ-Sachverständige;Subbelrather Str. 300A;50825;Köln;Ehrenfeld;0221 54 81 82 28;;;http://www.asp-gutachten.de;5.0;1;;https://www.gelbeseiten.de/gsbiz/8a9a2170-edad-417f-9710-3d522f7b2802
71;Köln;Auto Gutachter Uebelacker;Refrather Weg 60;51469;Bergisch Gladbach;;0221 6 71 19 99;info@fahrzeugschaden.com;Impressum/Website;http://www.fahrzeugschaden.com;;;;https://www.gelbeseiten.de/gsbiz/b56e828c-332f-4086-8445-38f9d5db9a5e
72;Köln;Hildebrand Marco Sachverständigenbüro;Hardenbergstr. 30;51373;Leverkusen;;0214 96 00 30 30;info@marcohildebrand.de;Impressum/Website;http://www.marcohildebrand.de;;;;https://www.gelbeseiten.de/gsbiz/643b400c-d255-4423-88c9-58a82912b9ec
73;Köln;Reemt Janssen Sachverständigen-Station;Clevischer Ring 125;51063;Köln;;0221 64 44 48;info@Gutachten-Station.de;Impressum/Website;https://gutachten-station.com/;;;;https://www.gelbeseiten.de/gsbiz/9e61e6fe-f829-4d4c-b703-af9e68bfc5c0
74;Köln;Scherschel Andreas;Vogelsanger Str. 365;50827;Köln;;0221 54 80 96;info@scherschel.koeln;Impressum/Website;;;;;https://www.gelbeseiten.de/gsbiz/d29684e3-1775-4bbf-9e0d-5ae0c6e1184a
75;Köln;Sperling Dirk;Berggeiststr. 3d;50389;Wesseling;;02236 4 44 70;info@svsperling.de;Impressum/Website;http://www.svsperling.de;;;;https://www.gelbeseiten.de/gsbiz/78bd52d6-8538-490a-9341-80163b600c68
76;Köln;Hanke Andreas KFZ Schadengutachter;Im Weidenauel 8;51503;Rösrath;;0176 32 67 67 39;;;http://www.kfz-schadengutachter-hanke.de;;;;https://www.gelbeseiten.de/gsbiz/09139de2-fa18-492c-94d7-bd1d65260bbd
77;Köln;KFZ-Sachverständige Uberman;Weyerstr. 313;42719;Solingen;Wald;0212 2 54 34 23;kfz@uberman.de;Impressum/Website;https://uberman.de;;;;https://www.gelbeseiten.de/gsbiz/832b2200-e945-4326-b3f5-cac56d614a78
78;Köln;Experts24 KFZ-Sachverständige;Subbelrather Str. 300A;50825;Köln;;0221 98 12 97 07;service@experts24.de;Impressum/Website;http://www.ex24.org;;;;https://www.gelbeseiten.de/gsbiz/11f12465-d920-4f07-ac0f-ca28ac8585c1
79;Köln;El Gameh Mostafa Dipl.-Ing. KFZ-Sachverständige;Taunusstr. 6;51105;Köln;;0221 98 63 46 50;info@auto-gutachter-koeln.de;Impressum/Website;http://www.auto-gutachter-koeln.de;;;;https://www.gelbeseiten.de/gsbiz/be3a8ab1-9745-462c-97e2-8f9a0efaf230
80;Köln;Modlich Walter Kfz.-Sachverständiger;Servatiusstr. 88;51109;Köln;Ostheim;01577 3 74 07 87;;;http://www.kfz-gutachter-modlich.de;;;;https://www.gelbeseiten.de/gsbiz/45fcabbb-1f87-464e-8fb6-de8b5ba1e8ce
81;Frankfurt;MY KFZ-Gutachter Kfz-Sachverständige;Odenwaldring 1;63069;Offenbach am Main;;069 3 48 79 65 40;info@my-kfzgutachter.de;Impressum/Website;http://www.my-kfzgutachter.de;5.0;46;;https://www.gelbeseiten.de/gsbiz/ba9ea1b4-61f7-4601-8e91-32318cc64c11
82;Frankfurt;FACHMANN Frankfurt am Main Kfz Gutachter;Poststr. 2-4;60329;Frankfurt am Main;Gallus;069 34 87 19 87;info@kfz-schadenexperte.de;Impressum/Website;https://www.kfz-gutachter-fachmann.de/frankfurt-schadengutachten;5.0;32;;https://www.gelbeseiten.de/gsbiz/b5787fa9-0c6b-4e3c-a600-38d31cfde007
83;Frankfurt;Unfallgutachten 24 Ing.-Büro Kotsikas;Ronneburgstr. 40;60435;Frankfurt am Main;Eckenheim;069 95 41 01 80;info@unfallgutachten24.de;Impressum/Website;https://www.unfallgutachten24.de;5.0;16;;https://www.gelbeseiten.de/gsbiz/2fe2c192-17ad-4f89-86b4-6218beecbb54
84;Frankfurt;ProfiGutachter Sachverständige;Donauweg 44;63071;Offenbach am Main;Tempelsee;0177 8 15 88 38;info@profigutachter.de;Impressum/Website;http://www.profigutachter.de;5.0;8;;https://www.gelbeseiten.de/gsbiz/ed0ab49c-5a79-446d-889e-1871512f4778
85;Frankfurt;SVS Sach-Verständigen-Stelle f. Kfz-Gutachten, Technik und Controlling  GmbH;Westerbachstr. 134;65936;Frankfurt am Main;Sossenheim;069 6 06 08 60;kontakt@svs-gutachten.de;Impressum/Website;https://www.svs-gutachten.de;5.0;3;;https://www.gelbeseiten.de/gsbiz/547c09f0-d86d-45dc-aebc-a640181e33fd
86;Frankfurt;Rettinger & Kollegen KFZ-Sachverständiger;Schmidtstr. 63;60326;Frankfurt am Main;Gallus;069 73 04 44;;;https://www.sv-rettinger.de;5.0;2;;https://www.gelbeseiten.de/gsbiz/31f96fec-6feb-48b0-a6f6-9f53aadfea70
87;Frankfurt;Sachverständigenbüro Steffen H.W. Kießlich - zert. Kfz.-Gutachter (IHK);Nordendstr. 77;63225;Langen;Hessen;06103 72 83 09;kiesslich@achtungaufgepasst.de;Impressum/Website;http://www.achtungaufgepasst.de;5.0;1;;https://www.gelbeseiten.de/gsbiz/a47b8e8b-7fa1-4d37-ae9b-dfec4b903285
88;Frankfurt;Baseem Suhail Kfz-Sachverständiger;Stieglitzstr. 12;63263;Neu-Isenburg;Gravenbruch;06102 3 25 73 26;info@kfz-unfallzentrum.de;Impressum/Website;http://www.kfz-unfallzentrum.de;5.0;1;;https://www.gelbeseiten.de/gsbiz/8d81e78c-c325-41fe-99ae-1291a945adbf
89;Frankfurt;Dengler D. Kfz-Sachverständigen-Büro;Rhönstr. 62;63071;Offenbach am Main;;069 83 00 88 80;;;http://www.sv-dengler.de;5.0;1;;https://www.gelbeseiten.de/gsbiz/fdec02ca-942d-4174-9af8-401de2e06ea8
90;Frankfurt;Becht KFZ Gutachter;Mittlerer Hasenpfad 38;60598;Frankfurt am Main;Sachsenhausen;069 66 56 30 11;info@becht-sv.de;Impressum/Website;http://www.becht-sv.de;5.0;1;;https://www.gelbeseiten.de/gsbiz/1952718d-24a0-4297-9e93-1ec28a6d2254
91;Frankfurt;Dedeci Celil KFZ-Sachverständigenbüro;Frankfurter Str. 200;63263;Neu-Isenburg;;06102 8 15 15 85;;;http://www.KFZ-Schaden.net;5.0;1;;https://www.gelbeseiten.de/gsbiz/26b67852-af04-4353-89f1-db34b9972778
